date,items sold,4B,4C,6P,8R,CHD,BRAC (chain bracelets & chokers),BRAC-e (elastic bracelets),BRAC (inches),NK (necklace),Chain (inches),CH (phone charm),LV (lever back earrings),WR (fish hook earrings),BP (4mm ball post studs),RAIN7,RAIN6,RAIN8,PHILLY,PROG,TRANS3,TRANS5,LESBO5,GAY5,BI3,BI5,PAN,GQUEER,GFLUID,ENBY,INTSEX,AROACE,ARO,ACE4,ACE6,CETERO4,CETERO5,MAV,AGEND,ANGY,GNEUT,TROIS,OMNIS,MULTIG,MULTIS,POLYG,POLYS,BIGEND,ABRO,ANDRO,GYNE,BERRI,ALMD,QPR,GAYBO,GFLUX,QUEER,USA,TART,HOWLS,10-13-STAR,SEASONS,SEASONS-charm,spring,summer,fall,winter,CC (Candy-Cane),RW,RWG,RG,KYO-Red,KYO-Black,KRIS,FRISK,AETHER,ANEMO,GEO,ELECTRO,DENDRO,HYDRO,PYRO,CRYO,NONE,ALL
"Tuesday, May 19, 2026",1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
"Thursday, May 21, 2026",2,1,,,1,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, May 23, 2026",1,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, May 24, 2026",1,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, May 28, 2026",4,4,,,,,,4,28,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, June 1, 2026",6,5,,,1,,,,,2,34,,3,,1,,,2,,,,,,,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, June 2, 2026",1,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, June 4, 2026",1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
"Friday, June 5, 2026",2,1,,,,,,,,1,16,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, June 7, 2026",1,,,,1,,,,,1,20,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, June 8, 2026",7,6,,1,,,,2,13,1,0,,4,,,,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, June 10, 2026",3,2,,,,,,,,1,16,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,
"Friday, June 12, 2026",4,4,,,,,,3,21,,,,1,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, June 14, 2026",4,4,,,,,1,,16,,,,3,,,,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, June 15, 2026",3,2,,1,,,,,,2,48,,1,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, June 17, 2026",1,1,,,,,,,,1,16,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, June 26, 2026",2,1,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, June 27, 2026",1,,,1,,,,,,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, June 28, 2026",1,,,1,,,,,,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
